model_name,wine_type,accuracy,precision,recall,f1,confusion_matrix,timestamp
Baseline Model,white,0.4489795918367347,0.20158267388588086,0.4489795918367347,0.27824087381431445,"[[  0   0 318]
 [  0   0 492]
 [  0   0 660]]",2025-11-18T12:15:21.163891
Baseline Model,white,0.4489795918367347,0.20158267388588086,0.4489795918367347,0.27824087381431445,"[[  0   0 318]
 [  0   0 492]
 [  0   0 660]]",2025-11-18T12:16:44.515775
Baseline Model,white,0.4489795918367347,0.20158267388588086,0.4489795918367347,0.27824087381431445,"[[  0   0 318]
 [  0   0 492]
 [  0   0 660]]",2025-11-18T12:16:57.355948
